time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-08T22:57:54.545Z,-4.5676,154.0488,205.78,4.6,mb,,59,1.916,0.72,us,us7000ebaq,2021-08-24T21:34:09.040Z,"199 km E of Kokopo, Papua New Guinea",earthquake,8.6,5.3,0.049,123,reviewed,us,us
2021-06-08T22:49:29.820Z,19.3661666666667,-155.21,1.61,2.75,md,47,82,,0.11,hv,hv72512822,2021-08-24T21:34:09.040Z,"8 km SSE of Volcano, Hawaii",earthquake,0.22,0.26,0.170238725918189,19,reviewed,hv,hv
2021-06-08T22:34:25.019Z,39.899,142.1931,44.11,4.9,mb,,70,1.238,0.64,us,us7000ebaj,2021-08-24T21:34:10.040Z,"35 km NE of Miyako, Japan",earthquake,4.1,5.7,0.034,280,reviewed,us,us
2021-06-08T22:02:42.918Z,51.0464,179.3085,35,3.7,ml,,261,0.869,0.8,us,us7000ebd6,2021-08-24T21:34:06.040Z,"296 km WSW of Adak, Alaska",earthquake,4.8,2,0.091,16,reviewed,us,us
2021-06-08T21:35:49.611Z,-39.2559,-74.9384,11.3,4.3,mwr,,146,1.325,0.73,us,us7000eb9y,2021-08-24T21:34:11.040Z,"147 km WNW of Corral, Chile",earthquake,5.3,4.2,0.05,38,reviewed,us,us
2021-06-08T21:33:23.593Z,-5.8906,153.1941,10,4.7,mb,,93,1.956,0.6,us,us7000ebag,2021-08-24T21:34:10.040Z,"199 km SSE of Kokopo, Papua New Guinea",earthquake,7.9,1.8,0.086,41,reviewed,us,us
2021-06-08T19:28:39.196Z,36.248,70.8875,104.52,4.1,mb,,78,0.911,0.94,us,us7000eb8g,2021-08-24T21:34:13.040Z,"68 km S of Jurm, Afghanistan",earthquake,6.3,6.5,0.13,18,reviewed,us,us
2021-06-08T18:57:18.360Z,19.2106666666667,-155.446166666667,36.41,3.02,ml,56,121,,0.11,hv,hv72512337,2021-08-24T21:34:13.040Z,"3 km ENE of P?hala, Hawaii",earthquake,0.44,0.54,0.169394709067501,41,reviewed,hv,hv
2021-06-08T18:28:32.495Z,0.4204,126.4137,10,4.1,mb,,76,1.014,0.89,us,us7000ec4u,2021-08-24T21:33:12.040Z,"115 km WSW of Ternate, Indonesia",earthquake,6.1,1.9,0.184,10,reviewed,us,us
2021-06-08T18:17:34.082Z,-26.6407,-176.8907,30.14,4.8,mb,,72,10.013,0.7,us,us7000eb81,2021-08-24T21:34:14.040Z,"south of the Fiji Islands",earthquake,10.5,4.4,0.062,87,reviewed,us,us
2021-06-08T17:55:55.846Z,54.3728,-159.6032,28.55,2.7,ml,,209,0.459,0.95,us,us7000eb82,2021-08-24T21:34:13.040Z,"121 km SSE of Sand Point, Alaska",earthquake,4.3,7.6,0.097,14,reviewed,us,us
2021-06-08T17:37:38.373Z,-32.3273,-178.3797,10,4.6,mb,,182,7.326,0.68,us,us7000ec4s,2021-08-24T21:33:13.040Z,"south of the Kermadec Islands",earthquake,15.6,1.9,0.141,16,reviewed,us,us
2021-06-08T17:21:21.602Z,47.4339,-92.5998,0,3,ml,,73,0.905,0.71,us,us7000eb7u,2021-08-24T21:34:14.040Z,"1 km N of Iron Junction, Minnesota",mining explosion,3.1,2,0.148,6,reviewed,us,us
2021-06-08T16:38:16.750Z,34.9922,25.2545,10,4.1,mb,,234,0.419,0.97,us,us7000ec4x,2021-08-24T21:33:12.040Z,"9 km E of Pýrgos, Greece",earthquake,6.8,1.9,0.262,5,reviewed,us,us
2021-06-08T16:33:42.300Z,17.957,-66.8296,11,2.81,md,14,206,0.215,0.25,pr,pr2021159010,2021-06-08T16:58:40.805Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.74,0.65,0.18,3,reviewed,pr,pr
2021-06-08T16:32:32.782Z,0.293,96.6469,10,4.4,mb,,130,1.367,0.62,us,us7000ec4q,2021-08-24T21:33:13.040Z,"243 km S of Sinabang, Indonesia",earthquake,9.8,1.9,0.098,30,reviewed,us,us
2021-06-08T16:21:45.090Z,17.9916,-66.9666,38,3.15,md,15,162,0.0807,0.24,pr,pr2021159009,2021-08-24T21:34:14.040Z,"5 km W of Fuig, Puerto Rico",earthquake,0.74,1.07,0.14,10,reviewed,pr,pr
2021-06-08T15:29:01.059Z,36.4075,143.0603,10,5.3,mww,,83,3.912,0.49,us,us7000eb5e,2021-08-24T21:34:15.040Z,"207 km ESE of Iwaki, Japan",earthquake,8.1,1.7,0.048,42,reviewed,us,us
2021-06-08T15:27:00.056Z,-0.4302,98.0127,10,4.5,mb,,203,1.777,0.57,us,us7000ec4n,2021-08-24T21:33:13.040Z,"235 km W of Pariaman, Indonesia",earthquake,9.5,1.9,0.127,18,reviewed,us,us
2021-06-08T15:08:02.432Z,0.3537,126.2561,10,4.5,mb,,71,1.185,0.83,us,us7000ec4m,2021-08-24T21:33:14.040Z,"134 km WSW of Ternate, Indonesia",earthquake,8.3,1.9,0.144,17,reviewed,us,us
2021-06-08T15:05:13.562Z,0.4076,126.158,10,4.5,mb,,71,1.261,0.24,us,us7000ec4w,2021-08-24T21:33:12.040Z,"142 km WSW of Ternate, Indonesia",earthquake,6,1.9,0.221,10,reviewed,us,us
2021-06-08T15:04:44.677Z,0.3052,126.2019,10,4.3,mb,,55,1.253,0.63,us,us7000ec4k,2021-08-24T21:33:14.040Z,"142 km WSW of Ternate, Indonesia",earthquake,5.7,1.9,0.142,16,reviewed,us,us
2021-06-08T14:58:34.514Z,-5.1032,131.7237,24.05,4.5,mb,,70,2.231,0.4,us,us7000ec4t,2021-08-24T21:33:13.040Z,"127 km WNW of Tual, Indonesia",earthquake,8.8,6.8,0.144,16,reviewed,us,us
