gender,name,loc_id
f,Emma,AF
f,Olivia,AX
f,Ava,AL
f,Sophia,DZ
f,Isabella,AS
f,Mia,AD
f,Charlotte,AO
f,Abigail,AI
f,Emily,AQ
f,Harper,AG
f,Amelia,AR
f,Evelyn,AM
f,Elizabeth,AW
f,Sofia,AU
f,Madison,AT
f,Avery,AZ
f,Ella,BS
f,Scarlett,BH
f,Grace,BD
f,Chloe,BB
f,Victoria,BY
f,Riley,BE
f,Aria,BZ
f,Lily,BJ
f,Aubrey,BM
f,Zoey,BT
f,Penelope,AR
f,Lillian,AM
f,Addison,BA
f,Layla,BW
f,Natalie,BV
f,Camila,BR
f,Hannah,IO
f,Brooklyn,BN
f,Zoe,BG
f,Nora,BF
f,Leah,BI
f,Savannah,KH
f,Audrey,CM
f,Claire,CA
f,Eleanor,CV
f,Skylar,KY
f,Ellie,CF
f,Samantha,TD
f,Stella,CL
f,Paisley,CN
f,Violet,CX
f,Mila,CC
f,Allison,CO
f,Alexa,KM
f,Anna,CG
f,Hazel, the Democratic Republic of the
f,Aaliyah,CK
f,Ariana,CR
f,Lucy,CI
f,Caroline,HR
f,Sarah,CU
f,Genesis,CW
f,Kennedy,CY
f,Sadie,CZ
f,Gabriella,DK
f,Madelyn,DJ
f,Adeline,DM
f,Maya,DO
f,Autumn,EC
f,Aurora,EG
f,Piper,SV
f,Hailey,GQ
f,Arianna,ER
f,Kaylee,EE
f,Ruby,ET
f,Serenity,FK
f,Eva,FO
f,Naomi,FJ
f,Nevaeh,FI
f,Alice,FR
f,Luna,GF
f,Bella,PF
f,Quinn,TF
f,Lydia,GA
f,Peyton,GM
f,Melanie,GE
f,Kylie,DE
f,Aubree,GH
f,Mackenzie,GI
f,Kinsley,GR
f,Cora,GL
f,Julia,GD
f,Taylor,GP
f,Katherine,GU
f,Madeline,GT
f,Gianna,GG
f,Eliana,GN
f,Elena,GW
f,Vivian,GY
f,Willow,HT
f,Reagan,HM
f,Brianna,VA
f,Clara,HN
f,Faith,HK
f,Ashley,HU
f,Emilia,IS
f,Isabelle,IN
f,Annabelle,ID
f,Rylee,AO
f,Valentina,AI
f,Everly,AQ
f,Hadley,AG
f,Sophie,AR
f,Alexandra,AM
f,Natalia,HM
f,Ivy,VA
f,Maria,HN
f,Josephine,HK
f,Delilah,HU
f,Bailey,IS
f,Jade,IN
f,Ximena,GU
f,Alexis,GT
f,Alyssa,GG
f,Brielle,GN
f,Jasmine,GW
f,Liliana,GY
f,Adalynn,HT
f,Khloe,FK
f,Isla,FO
f,Mary,FJ
f,Andrea,FI
f,Kayla,FR
f,Emery,GF
f,London,PF
f,Kimberly,TF
f,Morgan,GA
f,Lauren,AF
f,Sydney,AX
f,Nova,AL
f,Trinity,DZ
f,Lyla,AS
f,Margaret,AD
f,Ariel,AO
f,Adalyn,AI
f,Athena,AQ
f,Lilly,AG
f,Melody,AR
f,Isabel,AM
f,Jordyn,AW
f,Jocelyn,AU
f,Eden,AT
f,Paige,AZ
f,Teagan,BS
f,Valeria,BH
f,Sara,BD
f,Norah,BB
f,Rose,BY
f,Aliyah,BE
f,Mckenzie,BZ
f,Molly,BJ
f,Raelynn,BM
f,Leilani,BT
f,Valerie,AR
f,Emerson,AM
f,Juliana,BA
f,Nicole,BW
f,Laila,BV
f,Makayla,BR
f,Elise,IO
f,Mariah,BN
f,Mya,BG
f,Arya,BF
f,Ryleigh,BI
f,Adaline,KH
f,Brooke,CM
f,Rachel,CA
f,Eliza,CV
f,Angelina,KY
f,Amy,CF
f,Reese,TD
f,Alina,CL
f,Cecilia,CN
f,Londyn,CX
f,Gracie,CC
f,Payton,CO
f,Esther,KM
f,Alaina,CG
f,Charlie, the Democratic Republic of the
f,Iris,CK
f,Arabella,CR
f,Genevieve,CI
f,Finley,HR
f,Daisy,CU
f,Harmony,CW
f,Anastasia,CY
f,Kendall,CZ
f,Daniela,DK
f,Catherine,DJ
f,Adelyn,DM
f,Vanessa,DO
f,Brooklynn,EC
f,Juliette,EG
f,Julianna,SV
f,Presley,GQ
f,Summer,ER
f,Destiny,EE
f,Amaya,ET
f,Hayden,FK
f,Alana,FO
f,Rebecca,FJ
f,Michelle,FI
f,Eloise,FR
f,Lila,GF
f,Fiona,PF
f,Callie,TF
f,Lucia,GA
f,Angela,GM
f,Marley,GE
f,Adriana,DE
f,Parker,GH
f,Alexandria,GI
f,Giselle,GR
f,Alivia,GL
f,Alayna,GD
f,Brynlee,GP
f,Ana,GU
f,Harley,GT
f,Gabrielle,GG
f,Dakota,GN
f,Georgia,GW
f,Juliet,GY
f,Tessa,HT
f,Leila,HM
f,Kate,VA
f,Jayla,HN
f,Jessica,HK
f,Lola,HU
f,Stephanie,IS
f,Sienna,IN
f,Josie,ID
f,Daleyza,AO
f,Rowan,AI
f,Evangeline,AQ
f,Hope,AG
f,Maggie,AR
f,Camille,AM
f,Makenzie,HM
f,Vivienne,VA
f,Sawyer,HN
f,Gemma,HK
f,Joanna,HU
f,Noelle,IS
f,Elliana,IN
f,Mckenna,GU
f,Gabriela,GT
f,Kinley,GG
f,Rosalie,GN
f,Brynn,GW
f,Amiyah,GY
f,Melissa,HT
f,Adelaide,FK
f,Malia,FO
f,Ayla,FJ
f,Izabella,FI
f,Delaney,FR
f,Cali,GF
f,Journey,PF
f,Maci,TF
f,Elaina,GA
f,Sloane,AF
f,June,AX
f,Diana,AL
f,Blakely,DZ
f,Aniyah,AS
f,Olive,AD
f,Jennifer,AO
f,Paris,AI
f,Miranda,AQ
f,Lena,AG
f,Jacqueline,AR
f,Paislee,AM
f,Jane,AW
f,Raegan,AU
f,Lyric,AT
f,Lilliana,AZ
f,Adelynn,BS
f,Lucille,BH
f,Selena,BD
f,River,BB
f,Annie,BY
f,Cassidy,BE
f,Jordan,BZ
f,Thea,BJ
f,Mariana,BM
f,Amina,BT
f,Miriam,AR
f,Haven,AM
f,Remi,BA
f,Charlee,BW
f,Blake,BV
f,Lilah,BR
f,Ruth,IO
f,Amara,BN
f,Kali,BG
f,Kylee,BF
f,Arielle,BI
f,Emersyn,KH
f,Alessandra,CM
f,Fatima,CA
f,Talia,CV
f,Vera,KY
f,Nina,CF
f,Ariah,TD
f,Allie,CL
f,Addilyn,CN
f,Keira,CX
f,Catalina,CC
f,Raelyn,CO
f,Phoebe,KM
f,Lexi,CG
f,Zara, the Democratic Republic of the
f,Makenna,CK
f,Ember,CR
f,Leia,CI
f,Rylie,HR
f,Angel,CU
f,Haley,CW
f,Madilyn,CY
f,Kaitlyn,CZ
f,Heaven,DK
f,Nyla,DJ
f,Amanda,DM
f,Freya,DO
f,Journee,EC
f,Daniella,EG
f,Danielle,SV
f,Kenzie,GQ
f,Ariella,ER
f,Lia,EE
f,Brinley,ET
f,Maddison,FK
f,Shelby,FO
f,Elsie,FJ
f,Kamila,FI
f,Camilla,FR
f,Alison,GF
f,Ainsley,PF
f,Ada,TF
f,Laura,GA
f,Kendra,GM
f,Kayleigh,GE
f,Adrianna,DE
f,Madeleine,GH
f,Joy,GI
f,Juniper,GR
f,Chelsea,GL
f,Sage,GD
f,Erin,GP
f,Felicity,GU
f,Gracelyn,GT
f,Nadia,GG
f,Skyler,GN
f,Briella,GW
f,Aspen,GY
f,Myla,HT
f,Heidi,HM
f,Katie,VA
f,Zuri,HN
f,Jenna,HK
f,Kyla,HU
f,Kaia,IS
f,Kira,IN
f,Sabrina,ID
f,Gracelynn,AO
f,Gia,AI
f,Amira,AQ
f,Alexia,AG
f,Amber,AR
f,Cadence,AM
f,Esmeralda,HM
f,Katelyn,VA
f,Scarlet,HN
f,Kamryn,HK
f,Alicia,HU
f,Miracle,IS
f,Kelsey,IN
f,Logan,GU
f,Kiara,GT
f,Bianca,GG
f,Kaydence,GN
f,Alondra,GW
f,Evelynn,GY
f,Christina,HT
f,Lana,FK
f,Aviana,FO
f,Dahlia,FJ
f,Dylan,FI
f,Anaya,FR
f,Ashlyn,GF
f,Jada,PF
f,Kathryn,TF
