Membership No  Date Joined  Active  
    43455      2019-6-13    no    
    85367      2015-5-8     no    
    40274      2015-4-19    no    
    27841      2018-11-6    no    
    11363      2020-3-19    yes   
    56438      2019-10-19   yes   
    59502      2015-6-3     no    
    97240      2017-11-14   no    
    39267      2015-4-21    yes   
    78116      2019-9-10    no    
    45247      2020-6-1     no    
    75883      2020-8-7     yes   
    54548      2019-3-12    no    
    77732      2015-4-12    no    
    54633      2017-6-3     yes   
    14690      2015-4-14    yes   
    96597      2017-11-2    yes   
    30637      2016-9-5     no    
    89024      2018-5-19    no    
    15659      2017-11-2    yes   
