Membership No  Date Joined  Active  
    81776      2019-6-14    no    
    90754      2019-12-10   yes   
    42241      2015-2-1     no    
    48848      2017-1-25    no    
    39130      2017-11-22   no    
    74559      2020-9-22    no    
    85484      2016-4-16    yes   
    21019      2019-9-13    no    
    80159      2015-5-16    yes   
    24282      2018-12-3    no    
    54912      2015-5-12    yes   
    38962      2019-4-11    no    
    58220      2018-12-10   yes   
    69938      2020-5-22    yes   
    58008      2015-10-5    no    
    92190      2015-11-15   no    
    19668      2019-7-19    yes   
    80695      2020-3-9     no    
    94946      2016-1-5     yes   
    20515      2020-2-2     yes   
