iter	Passed	Remaining
0	146	145978
1	333	166483
2	464	154487
3	557	138922
4	641	127570
5	729	120787
6	829	117700
7	975	120941
8	1145	126124
9	1291	127880
10	1490	134000
11	1857	152936
12	2121	161088
13	2286	161051
14	2436	160026
15	2572	158182
16	2732	158010
17	2880	157144
18	3068	158422
19	3219	157764
20	3363	156820
21	3527	156817
22	3663	155605
23	3782	153831
24	3924	153071
25	4109	153945
26	4269	153868
27	4426	153649
28	4560	152701
29	4707	152214
30	4837	151209
31	4992	151009
32	5173	151584
33	5281	150056
34	5399	148862
35	5543	148440
36	5680	147837
37	5799	146828
38	5896	145294
39	5997	143934
40	6134	143489
41	6268	142992
42	6473	144064
43	6602	143445
44	6768	143644
45	6860	142278
46	6964	141223
47	7074	140304
48	7158	138940
49	7240	137572
50	7318	136182
51	7404	134984
52	7492	133879
53	7586	132898
54	7690	132129
55	7763	130864
56	7853	129922
57	7955	129207
58	8092	129073
59	8187	128269
60	8270	127312
61	8356	126429
62	8449	125671
63	8550	125048
64	8613	123907
65	8666	122641
66	8725	121511
67	8826	120973
68	8917	120317
69	9018	119819
70	9122	119364
71	9201	118595
72	9276	117799
73	9350	117002
74	9425	116249
75	9507	115592
76	9583	114872
77	9676	114379
78	9749	113662
79	9839	113150
80	9907	112408
81	9978	111716
82	10059	111137
83	10149	110675
84	10220	110024
85	10296	109428
86	10369	108815
87	10448	108280
88	10520	107683
89	10605	107232
90	10668	106572
91	10736	105966
92	10785	105186
93	10841	104498
94	10901	103854
95	10958	103188
96	11010	102501
97	11072	101913
98	11138	101374
99	11208	100876
100	11281	100413
101	11370	100104
102	11440	99634
103	11517	99227
104	11605	98921
105	11685	98553
106	11762	98170
107	11846	97839
108	11927	97502
109	11994	97049
110	12068	96658
111	12132	96193
112	12199	95762
113	12280	95439
114	12364	95151
115	12439	94800
116	12504	94371
117	12581	94043
118	12660	93731
119	12735	93391
120	12809	93052
121	12900	92838
122	12978	92534
123	13051	92202
124	13131	91921
125	13195	91528
126	13283	91312
127	13354	90977
128	13421	90622
129	13491	90288
130	13563	89977
131	13651	89771
132	13719	89436
133	13818	89303
134	13895	89034
135	13956	88663
136	14019	88314
137	14089	88009
138	14156	87691
139	14225	87385
140	14298	87110
141	14370	86829
142	14435	86513
143	14503	86213
144	14571	85919
145	14642	85646
146	14706	85336
147	14773	85046
148	14837	84743
149	14904	84458
150	14980	84228
151	15052	83975
152	15115	83680
153	15181	83399
154	15240	83084
155	15297	82763
156	15355	82452
157	15411	82131
158	15475	81854
159	15526	81514
160	15583	81207
161	15639	80903
162	15695	80594
163	15760	80338
164	15819	80054
165	15877	79770
166	15930	79464
167	15991	79196
168	16043	78886
169	16096	78588
170	16155	78319
171	16210	78034
172	16265	77754
173	16321	77482
174	16375	77197
175	16431	76931
176	16490	76674
177	16545	76406
178	16601	76145
179	16656	75881
180	16713	75626
181	16774	75391
182	16832	75146
183	16885	74885
184	16939	74623
185	16997	74388
186	17056	74156
187	17113	73914
188	17168	73668
189	17227	73443
190	17280	73193
191	17331	72938
192	17393	72730
193	17463	72554
194	17534	72387
195	17602	72206
196	17673	72040
197	17729	71813
198	17793	71622
199	17856	71425
200	17927	71264
201	17999	71105
202	18061	70910
203	18126	70728
204	18193	70553
205	18255	70365
206	18313	70158
207	18380	69988
208	18447	69818
209	18510	69635
210	18572	69450
211	18639	69284
212	18705	69115
213	18773	68954
214	18837	68777
215	18899	68596
216	18961	68419
217	19036	68286
218	19098	68108
219	19159	67930
220	19219	67746
221	19287	67593
222	19349	67419
223	19410	67244
224	19471	67069
225	19544	66936
226	19610	66778
227	19673	66615
228	19730	66428
229	19796	66275
230	19859	66112
231	19916	65931
232	19982	65780
233	20038	65596
234	20099	65429
235	20167	65289
236	20234	65142
237	20301	65000
238	20364	64842
239	20433	64705
240	20501	64567
241	20571	64436
242	20637	64290
243	20704	64148
244	20766	63993
245	20830	63845
246	20893	63696
247	20952	63534
248	21011	63371
249	21069	63208
250	21134	63067
251	21200	62928
252	21268	62798
253	21327	62638
254	21393	62502
255	21463	62377
256	21537	62266
257	21605	62137
258	21662	61976
259	21721	61821
260	21786	61687
261	21856	61566
262	21922	61434
263	21991	61308
264	22052	61163
265	22126	61055
266	22189	60917
267	22252	60779
268	22317	60647
269	22386	60527
270	22453	60401
271	22525	60288
272	22588	60152
273	22651	60018
274	22718	59893
275	22778	59752
276	22836	59606
277	22898	59470
278	22976	59376
279	23040	59246
280	23110	59134
281	23172	58998
282	23229	58852
283	23296	58732
284	23347	58572
285	23406	58434
286	23477	58324
287	23542	58201
288	23596	58052
289	23661	57930
290	23729	57814
291	23802	57713
292	23868	57595
293	23949	57512
294	24031	57431
295	24151	57440
296	24236	57367
297	24327	57308
298	24404	57215
299	24471	57100
300	24545	57000
301	24613	56889
302	24697	56813
303	24776	56724
304	24853	56633
305	24920	56519
306	24992	56416
307	25081	56351
308	25154	56252
309	25242	56185
310	25317	56089
311	25401	56013
312	25484	55935
313	25575	55874
314	25653	55786
315	25732	55699
316	25804	55597
317	25876	55497
318	25943	55385
319	26027	55308
320	26102	55213
321	26162	55086
322	26218	54953
323	26283	54837
324	26357	54742
325	26423	54629
326	26496	54532
327	26571	54438
328	26640	54332
329	26825	54464
330	26895	54359
331	26960	54246
332	27030	54141
333	27096	54030
334	27161	53917
335	27228	53809
336	27290	53690
337	27352	53571
338	27408	53443
339	27477	53338
340	27550	53243
341	27607	53115
342	27670	53001
343	27729	52879
344	27798	52776
345	27867	52673
346	27933	52566
347	27994	52449
348	28058	52338
349	28125	52233
350	28193	52129
351	28260	52024
352	28324	51915
353	28390	51809
354	28446	51683
355	28503	51563
356	28580	51477
357	28648	51374
358	28720	51280
359	28779	51164
360	28843	51055
361	28905	50943
362	28983	50860
363	29045	50749
364	29105	50636
365	29166	50522
366	29242	50436
367	29305	50329
368	29371	50225
369	29441	50129
370	29500	50015
371	29570	49920
372	29631	49808
373	29705	49721
374	29771	49618
375	29847	49534
376	29914	49435
377	30010	49381
378	30073	49276
379	30149	49190
380	30227	49110
381	30295	49012
382	30370	48926
383	30447	48842
384	30511	48739
385	30585	48651
386	30656	48559
387	30715	48448
388	30781	48347
389	30848	48250
390	30913	48149
391	30975	48043
392	31037	47938
393	31088	47815
394	31151	47712
395	31213	47609
396	31273	47500
397	31334	47395
398	31399	47296
399	31459	47189
400	31523	47088
401	31592	46995
402	31646	46881
403	31699	46764
404	31758	46656
405	31819	46553
406	31880	46450
407	31949	46358
408	32008	46251
409	32068	46146
410	32129	46044
411	32195	45948
412	32258	45849
413	32323	45752
414	32379	45642
415	32452	45557
416	32523	45471
417	32588	45374
418	32644	45265
419	32710	45171
420	32767	45064
421	32836	44975
422	32904	44884
423	32964	44782
424	33030	44688
425	33095	44594
426	33165	44505
427	33227	44406
428	33291	44310
429	33345	44202
430	33402	44097
431	33471	44008
432	33541	43922
433	33604	43825
434	33676	43740
435	33741	43646
436	33800	43546
437	33867	43455
438	33937	43368
439	33999	43271
440	34061	43175
441	34124	43079
442	34189	42987
443	34256	42898
444	34330	42816
445	34397	42727
446	34456	42626
447	34516	42529
448	34572	42425
449	34667	42370
450	34732	42279
451	34794	42183
452	34848	42079
453	34919	41995
454	34988	41909
455	35050	41815
456	35112	41719
457	35176	41628
458	35235	41529
459	35302	41442
460	35368	41352
461	35427	41255
462	35489	41161
463	35565	41084
464	35635	41000
465	35697	40906
466	35754	40807
467	35815	40713
468	35881	40624
469	35945	40534
470	36015	40450
471	36086	40367
472	36144	40271
473	36216	40189
474	36273	40091
475	36334	39998
476	36397	39907
477	36460	39816
478	36523	39725
479	36597	39647
480	36666	39563
481	36731	39474
482	36799	39389
483	36860	39297
484	36926	39210
485	36990	39121
486	37048	39026
487	37107	38932
488	37167	38839
489	37232	38752
490	37303	38671
491	37369	38584
492	37432	38495
493	37491	38402
494	37556	38315
495	37621	38228
496	37684	38139
497	37744	38047
498	37807	37958
499	37865	37865
500	37926	37775
501	37989	37686
502	38044	37590
503	38102	37497
504	38167	37411
505	38227	37321
506	38285	37228
507	38349	37141
508	38408	37050
509	38469	36961
510	38528	36869
511	38591	36782
512	38649	36690
513	38716	36607
514	38774	36516
515	38842	36433
516	38905	36346
517	38964	36256
518	39029	36171
519	39092	36085
520	39150	35994
521	39213	35907
522	39268	35814
523	39333	35730
524	39397	35645
525	39462	35561
526	39529	35479
527	39589	35390
528	39655	35307
529	39718	35221
530	39774	35130
531	39830	35038
532	39900	34959
533	39965	34876
534	40034	34796
535	40096	34710
536	40159	34625
537	40232	34549
538	40298	34466
539	40360	34381
540	40423	34296
541	40485	34210
542	40552	34129
543	40611	34041
544	40685	33966
545	40752	33885
546	40821	33806
547	40887	33725
548	40952	33642
549	41016	33558
550	41072	33469
551	41134	33384
552	41193	33297
553	41266	33221
554	41327	33136
555	41397	33058
556	41464	32977
557	41526	32893
558	41586	32808
559	41648	32723
560	41712	32641
561	41776	32558
562	41836	32473
563	41899	32390
564	41965	32309
565	42023	32222
566	42086	32140
567	42146	32055
568	42205	31969
569	42264	31884
570	42324	31799
571	42392	31720
572	42455	31637
573	42523	31559
574	42596	31484
575	42661	31403
576	42724	31321
577	42786	31238
578	42850	31157
579	42917	31078
580	42979	30995
581	43041	30912
582	43108	30834
583	43172	30752
584	43227	30665
585	43292	30585
586	43367	30512
587	43428	30429
588	43493	30349
589	43559	30270
590	43635	30197
591	43702	30119
592	43773	30043
593	43850	29971
594	43928	29900
595	43997	29823
596	44056	29740
597	44164	29689
598	44306	29660
599	44409	29606
600	44492	29538
601	44579	29472
602	44656	29400
603	44744	29335
604	44818	29261
605	44900	29192
606	44992	29130
607	45074	29061
608	45160	28994
609	45237	28922
610	45340	28866
611	45431	28802
612	45503	28727
613	45612	28675
614	45693	28604
615	45775	28535
616	45875	28476
617	45949	28402
618	46035	28335
619	46115	28264
620	46202	28197
621	46285	28128
622	46365	28057
623	46448	27987
624	46534	27920
625	46619	27852
626	46718	27792
627	46799	27721
628	46895	27660
629	46964	27582
630	47037	27506
631	47101	27426
632	47165	27345
633	47238	27270
634	47313	27196
635	47379	27116
636	47462	27047
637	47546	26977
638	47629	26907
639	47714	26839
640	47795	26768
641	47880	26699
642	47955	26625
643	48039	26556
644	48127	26488
645	48215	26421
646	48301	26353
647	48391	26286
648	48466	26212
649	48549	26142
650	48642	26077
651	48727	26007
652	48816	25940
653	48930	25886
654	49033	25826
655	49130	25763
656	49247	25710
657	49341	25645
658	49441	25583
659	49528	25514
660	49627	25451
661	49685	25368
662	49743	25284
663	49803	25201
664	49857	25116
665	49961	25055
666	50070	24997
667	50193	24946
668	50271	24872
669	50357	24802
670	50444	24733
671	50553	24675
672	50685	24627
673	50742	24543
674	50802	24460
675	50876	24384
676	50973	24319
677	51071	24255
678	51171	24191
679	51249	24117
680	51360	24058
681	51448	23989
682	51531	23917
683	51649	23861
684	51764	23804
685	51854	23735
686	51951	23669
687	52051	23604
688	52169	23548
689	52263	23480
690	52348	23408
691	52434	23337
692	52517	23265
693	52631	23206
694	52724	23138
695	52804	23064
696	52909	23000
697	52997	22930
698	53079	22856
699	53147	22777
700	53212	22697
701	53279	22617
702	53346	22537
703	53402	22453
704	53459	22369
705	53519	22287
706	53584	22206
707	53636	22121
708	53688	22035
709	53737	21949
710	53798	21867
711	53849	21781
712	53899	21695
713	53950	21610
714	54027	21535
715	54138	21474
716	54288	21427
717	54387	21361
718	54463	21285
719	54540	21210
720	54612	21132
721	54678	21053
722	54747	20975
723	54813	20895
724	54875	20814
725	54947	20737
726	55023	20662
727	55089	20582
728	55151	20502
729	55226	20426
730	55296	20348
731	55399	20283
732	55473	20206
733	55558	20134
734	55642	20061
735	55699	19979
736	55765	19900
737	55833	19821
738	55933	19754
739	56003	19677
740	56099	19608
741	56239	19554
742	56340	19487
743	56460	19427
744	56544	19354
745	56701	19305
746	56785	19232
747	56870	19159
748	56944	19082
749	57032	19010
750	57087	18927
751	57164	18851
752	57232	18773
753	57307	18697
754	57392	18623
