iter	Passed	Remaining
0	18	18455
1	36	18161
2	53	17770
3	70	17578
4	87	17482
5	104	17329
6	121	17244
7	137	17074
8	154	16978
9	171	16973
10	192	17313
11	210	17361
12	227	17275
13	242	17096
14	258	16997
15	274	16902
16	290	16799
17	306	16702
18	322	16635
19	338	16603
20	354	16547
21	372	16539
22	388	16512
23	405	16487
24	422	16470
25	438	16437
26	455	16408
27	471	16383
28	487	16309
29	503	16266
30	518	16196
31	534	16176
32	551	16162
33	567	16118
34	582	16072
35	599	16055
36	615	16023
37	630	15952
38	647	15947
39	663	15932
40	678	15881
41	697	15915
42	716	15947
43	731	15899
44	747	15862
45	763	15844
46	778	15790
47	794	15763
48	811	15741
49	827	15716
50	843	15696
51	858	15659
52	875	15634
53	891	15613
54	906	15575
55	922	15549
56	937	15505
57	952	15472
58	969	15466
59	986	15461
60	1004	15462
61	1021	15448
62	1039	15454
63	1057	15473
64	1083	15583
65	1106	15652
66	1127	15705
67	1151	15781
68	1170	15792
69	1188	15796
70	1211	15852
71	1236	15930
72	1254	15932
73	1272	15924
74	1291	15927
75	1308	15914
76	1327	15907
77	1345	15909
78	1364	15907
79	1381	15892
80	1401	15902
81	1419	15890
82	1439	15903
83	1460	15921
84	1480	15932
85	1499	15938
86	1521	15965
87	1541	15971
88	1561	15986
89	1582	16004
90	1602	16009
91	1622	16013
92	1642	16020
93	1663	16036
94	1682	16031
95	1703	16037
96	1722	16033
97	1744	16052
98	1764	16058
99	1784	16063
100	1805	16066
101	1825	16071
102	1843	16058
103	1864	16061
104	1883	16054
105	1905	16068
106	1925	16071
107	1949	16104
108	1979	16184
109	2003	16213
110	2022	16201
111	2043	16200
112	2062	16186
113	2081	16175
114	2101	16168
115	2121	16167
116	2142	16168
117	2160	16151
118	2179	16138
119	2199	16130
120	2220	16127
121	2241	16131
122	2263	16136
123	2285	16144
124	2304	16134
125	2322	16109
126	2342	16099
127	2362	16097
128	2380	16071
129	2399	16055
130	2418	16046
131	2437	16028
132	2457	16021
133	2476	16001
134	2494	15982
135	2513	15967
136	2533	15956
137	2549	15924
138	2568	15909
139	2590	15915
140	2609	15900
141	2628	15880
142	2647	15866
143	2666	15849
144	2683	15825
145	2701	15799
146	2720	15783
147	2738	15763
148	2755	15736
149	2774	15721
150	2796	15721
151	2815	15705
152	2836	15705
153	2856	15693
154	2876	15681
155	2895	15664
156	2913	15644
157	2932	15628
158	2951	15611
159	2970	15595
160	2988	15574
161	3009	15565
162	3027	15546
163	3047	15533
164	3066	15518
165	3086	15508
166	3107	15497
167	3124	15476
168	3144	15462
169	3165	15454
170	3185	15442
171	3204	15425
172	3222	15406
173	3240	15381
174	3259	15364
175	3281	15363
176	3302	15355
177	3323	15348
178	3341	15327
179	3359	15304
180	3377	15281
181	3394	15257
182	3412	15234
183	3434	15230
184	3453	15212
185	3471	15192
186	3490	15174
187	3510	15161
188	3527	15138
189	3545	15115
190	3563	15095
191	3580	15067
192	3596	15038
193	3614	15018
194	3630	14989
