,id,churn_probability
0,69999,-1
1,70000,-1
2,70001,-1
3,70002,-1
4,70003,-1
5,70004,-1
6,70005,-1
7,70006,-1
8,70007,-1
9,70008,-1
10,70009,-1
11,70010,-1
12,70011,-1
13,70012,-1
14,70013,-1
15,70014,-1
16,70015,-1
17,70016,-1
18,70017,-1
19,70018,-1
20,70019,-1
21,70020,-1
22,70021,-1
23,70022,-1
24,70023,-1
25,70024,-1
26,70025,-1
27,70026,-1
28,70027,-1
29,70028,-1
30,70029,-1
31,70030,-1
32,70031,-1
33,70032,-1
34,70033,-1
35,70034,-1
36,70035,-1
37,70036,-1
38,70037,-1
39,70038,-1
40,70039,-1
41,70040,-1
42,70041,-1
43,70042,-1
44,70043,-1
45,70044,-1
46,70045,-1
47,70046,-1
48,70047,-1
49,70048,-1
50,70049,-1
51,70050,-1
52,70051,-1
53,70052,-1
54,70053,-1
55,70054,-1
56,70055,-1
57,70056,-1
58,70057,-1
59,70058,-1
60,70059,-1
61,70060,-1
62,70061,-1
63,70062,-1
64,70063,-1
65,70064,-1
66,70065,-1
67,70066,-1
68,70067,-1
69,70068,-1
70,70069,-1
71,70070,-1
72,70071,-1
73,70072,-1
74,70073,-1
75,70074,-1
76,70075,-1
77,70076,-1
78,70077,-1
79,70078,-1
80,70079,-1
81,70080,-1
82,70081,-1
83,70082,-1
84,70083,-1
85,70084,-1
86,70085,-1
87,70086,-1
88,70087,-1
89,70088,-1
90,70089,-1
91,70090,-1
92,70091,-1
93,70092,-1
94,70093,-1
95,70094,-1
96,70095,-1
97,70096,-1
98,70097,-1
99,70098,-1
100,70099,-1
101,70100,-1
102,70101,-1
103,70102,-1
104,70103,-1
105,70104,-1
106,70105,-1
107,70106,-1
108,70107,-1
109,70108,-1
110,70109,-1
111,70110,-1
112,70111,-1
113,70112,-1
114,70113,-1
115,70114,-1
116,70115,-1
117,70116,-1
118,70117,-1
119,70118,-1
120,70119,-1
121,70120,-1
122,70121,-1
123,70122,-1
124,70123,-1
125,70124,-1
126,70125,-1
127,70126,-1
128,70127,-1
129,70128,-1
130,70129,-1
131,70130,-1
132,70131,-1
133,70132,-1
134,70133,-1
135,70134,-1
136,70135,-1
137,70136,-1
138,70137,-1
139,70138,-1
140,70139,-1
141,70140,-1
142,70141,-1
143,70142,-1
144,70143,-1
145,70144,-1
146,70145,-1
147,70146,-1
148,70147,-1
149,70148,-1
150,70149,-1
151,70150,-1
152,70151,-1
153,70152,-1
154,70153,-1
155,70154,-1
156,70155,-1
157,70156,-1
158,70157,-1
159,70158,-1
160,70159,-1
161,70160,-1
162,70161,-1
163,70162,-1
164,70163,-1
165,70164,-1
166,70165,-1
167,70166,-1
168,70167,-1
169,70168,-1
170,70169,-1
171,70170,-1
172,70171,-1
173,70172,-1
174,70173,-1
175,70174,-1
176,70175,-1
177,70176,-1
178,70177,-1
179,70178,-1
180,70179,-1
181,70180,-1
182,70181,-1
183,70182,-1
184,70183,-1
185,70184,-1
186,70185,-1
187,70186,-1
188,70187,-1
189,70188,-1
190,70189,-1
191,70190,-1
192,70191,-1
193,70192,-1
194,70193,-1
195,70194,-1
196,70195,-1
197,70196,-1
198,70197,-1
199,70198,-1
200,70199,-1
201,70200,-1
202,70201,-1
203,70202,-1
204,70203,-1
205,70204,-1
206,70205,-1
207,70206,-1
208,70207,-1
209,70208,-1
210,70209,-1
211,70210,-1
212,70211,-1
213,70212,-1
214,70213,-1
215,70214,-1
216,70215,-1
217,70216,-1
218,70217,-1
219,70218,-1
220,70219,-1
221,70220,-1
222,70221,-1
223,70222,-1
224,70223,-1
225,70224,-1
226,70225,-1
227,70226,-1
228,70227,-1
229,70228,-1
230,70229,-1
231,70230,-1
232,70231,-1
233,70232,-1
234,70233,-1
235,70234,-1
236,70235,-1
237,70236,-1
238,70237,-1
239,70238,-1
240,70239,-1
241,70240,-1
242,70241,-1
243,70242,-1
244,70243,-1
245,70244,-1
246,70245,-1
247,70246,-1
248,70247,-1
249,70248,-1
250,70249,-1
251,70250,-1
252,70251,-1
253,70252,-1
254,70253,-1
255,70254,-1
256,70255,-1
257,70256,-1
258,70257,-1
259,70258,-1
260,70259,-1
261,70260,-1
262,70261,-1
263,70262,-1
264,70263,-1
265,70264,-1
266,70265,-1
267,70266,-1
268,70267,-1
269,70268,-1
270,70269,-1
271,70270,-1
272,70271,-1
273,70272,-1
274,70273,-1
275,70274,-1
276,70275,-1
277,70276,-1
278,70277,-1
279,70278,-1
280,70279,-1
281,70280,-1
282,70281,-1
283,70282,-1
284,70283,-1
285,70284,-1
286,70285,-1
287,70286,-1
288,70287,-1
289,70288,-1
290,70289,-1
291,70290,-1
292,70291,-1
293,70292,-1
294,70293,-1
295,70294,-1
296,70295,-1
297,70296,-1
298,70297,-1
299,70298,-1
300,70299,-1
301,70300,-1
302,70301,-1
303,70302,-1
304,70303,-1
305,70304,-1
306,70305,-1
307,70306,-1
308,70307,-1
309,70308,-1
