iter	Logloss
0	0.6796590053
1	0.6677572819
2	0.6562837658
3	0.6456182688
4	0.6347691524
5	0.6233861332
6	0.6143184314
7	0.6051058178
8	0.5969047581
9	0.5892163565
10	0.5811750523
11	0.5733264207
12	0.5661723696
13	0.5594843389
14	0.5534372623
15	0.5476853701
16	0.5425529357
17	0.5375715002
18	0.5321627643
19	0.5275114193
20	0.5232416369
21	0.5185459791
22	0.5144317613
23	0.5102088928
24	0.5061347793
25	0.502222086
26	0.4984950712
27	0.4950781055
28	0.4915003842
29	0.4885706395
30	0.4852578029
31	0.4824526584
32	0.4796496599
33	0.4769359355
34	0.4745202031
35	0.471750136
36	0.469310537
37	0.4667554229
38	0.4644029807
39	0.4620162067
40	0.4598957033
41	0.4579083542
42	0.4560802794
43	0.4543448805
44	0.4526597457
45	0.4508344311
46	0.4491970618
47	0.4474888457
48	0.4459950883
49	0.4444685832
50	0.4433030663
51	0.4417328771
52	0.4402799012
53	0.4393672024
54	0.4381492205
55	0.4368186705
56	0.4356957654
57	0.4343390241
58	0.4331362517
59	0.4319489747
60	0.4309771286
61	0.4301011469
62	0.4293305806
63	0.4286027264
64	0.4276397742
65	0.4264797335
66	0.4256632598
67	0.4246266708
68	0.4239823495
69	0.4231034331
70	0.4224181763
71	0.4215825449
72	0.4209089172
73	0.4201521145
74	0.4195319916
75	0.4187781482
76	0.4180935032
77	0.4174270541
78	0.4167956073
79	0.4160322343
80	0.4153015914
81	0.4146480105
82	0.4140144116
83	0.4134265072
84	0.4129415827
85	0.4122496706
86	0.4117506615
87	0.4111755654
88	0.4104898272
89	0.4100498429
90	0.4096194238
91	0.4092103721
92	0.4087449314
93	0.4082243889
94	0.4076886732
95	0.4072024222
96	0.4067177868
97	0.4062345604
98	0.4057473485
99	0.4052633765
100	0.4048068278
101	0.4042471816
102	0.4036549472
103	0.4032154459
104	0.4028828307
105	0.4024483624
106	0.4020565187
107	0.4015142053
108	0.4013032
109	0.4008892498
110	0.4004360711
111	0.3999184265
112	0.3998391136
113	0.3995159675
114	0.3990791246
115	0.3986909673
116	0.3983049663
117	0.3979070804
118	0.3975697549
119	0.3972206491
120	0.3969621335
121	0.3966444282
122	0.3963947852
123	0.3960901237
124	0.3957709648
125	0.3954388924
126	0.3951908423
127	0.3949089081
128	0.3945510082
129	0.3942846022
130	0.3940008522
131	0.3935634877
132	0.3932818116
133	0.3931031764
134	0.3927976792
135	0.3926796674
136	0.3924783044
137	0.3921620946
138	0.3918995574
139	0.391667391
140	0.3913536196
141	0.3910651478
142	0.390791459
143	0.3904783513
144	0.3901099742
145	0.3899160927
146	0.3896754789
147	0.389450891
148	0.389282882
149	0.3890128036
150	0.388822199
151	0.3885957218
152	0.3883183012
153	0.3879962417
154	0.3878395488
155	0.3875679801
156	0.3872853996
157	0.3870986261
158	0.3868903428
159	0.3866446595
160	0.3863495585
161	0.3860840555
162	0.3858069117
163	0.3854920189
164	0.3852368696
165	0.3848712579
166	0.3846239258
167	0.3843443926
168	0.3841212036
169	0.383977345
170	0.3837787202
171	0.3836521513
172	0.3833756442
173	0.3831987407
174	0.3829019136
175	0.3827654909
176	0.3825636067
177	0.3824007747
178	0.3822887488
179	0.3821550875
180	0.3819931942
181	0.3818321469
182	0.3816040594
183	0.381370949
184	0.381219462
185	0.3810574617
186	0.3808488408
187	0.380704543
188	0.3804707107
189	0.3802844518
190	0.3801485461
191	0.3800869517
192	0.3799000909
193	0.3796302641
194	0.379431633
195	0.3792210594
196	0.3791401849
197	0.3789004988
198	0.3786328743
199	0.3783837641
200	0.3781274386
201	0.3779692078
202	0.3778343132
203	0.3776657729
204	0.377492882
205	0.3773239798
206	0.3771143722
207	0.3769145716
208	0.3768040913
209	0.3765848638
210	0.376321849
211	0.3762363557
212	0.376092036
213	0.3759411188
214	0.3756460703
215	0.3754689522
216	0.3753093517
217	0.3751554375
218	0.3751059961
219	0.3747750246
220	0.3746009591
221	0.3745174256
222	0.374360611
223	0.3742148586
224	0.3741714278
225	0.3740399847
226	0.3739021053
227	0.3736897668
228	0.3735754532
229	0.3733968413
230	0.3731194746
231	0.3729304986
232	0.3726829883
233	0.372511733
234	0.3724186147
235	0.372207935
236	0.3720437255
237	0.371817539
238	0.3715623201
239	0.3713717176
240	0.3712694254
241	0.3710863614
242	0.3708964508
243	0.3706897305
244	0.3706343561
245	0.3704000369
246	0.3702444561
247	0.3701691177
248	0.3699021225
249	0.3697288491
250	0.3695846042
251	0.3694311247
252	0.3692752283
253	0.3690909635
254	0.3689603172
255	0.3687960599
256	0.3685674246
257	0.3684230794
258	0.3680911573
259	0.3679012024
260	0.3677996929
261	0.3677062466
262	0.3675708307
263	0.3674490022
264	0.3671038554
265	0.3668367083
266	0.3665412031
267	0.3664534702
268	0.3661153156
269	0.3659424588
270	0.365820171
271	0.3656844256
272	0.3654671235
273	0.3653680221
274	0.3652609855
275	0.3651698039
276	0.3650726125
277	0.3648519825
278	0.3646323058
279	0.3645446262
280	0.3643583004
281	0.3641396691
282	0.3639481369
283	0.3638433941
284	0.3636965621
285	0.3636050161
286	0.3634906457
287	0.363462957
288	0.3632718241
289	0.3630616863
290	0.3628462
291	0.362649003
292	0.3625237164
293	0.3624105541
294	0.3622534086
295	0.3621390272
296	0.3618943796
297	0.3618093261
298	0.3616434331
299	0.3614050917
300	0.3613592493
301	0.3613011714
302	0.3611590708
303	0.3608785188
304	0.3608738424
305	0.3607186868
306	0.3604750704
307	0.3603656197
308	0.3602106949
309	0.3599835461
310	0.3598518769
311	0.3596938332
312	0.3595395921
313	0.359247779
314	0.3591300086
315	0.3588807872
316	0.3587685384
317	0.3585616874
318	0.3584266157
319	0.3583552047
320	0.3580842273
321	0.357887485
322	0.3578056966
323	0.3575422192
324	0.3574582675
325	0.357402553
326	0.3572816062
327	0.357136491
328	0.356978677
329	0.3566837422
330	0.3564839419
331	0.3563358585
332	0.3561078139
333	0.3559751576
334	0.355747685
335	0.3556304052
336	0.3554945867
337	0.3553131995
338	0.3551470999
339	0.3549499808
340	0.3547819309
341	0.3545441366
342	0.3544045245
343	0.3542451705
344	0.354061626
345	0.3538676719
346	0.3538293497
347	0.3537131721
348	0.3535839262
349	0.3533967968
350	0.3532747641
351	0.3531266755
352	0.3531013621
353	0.3529739703
354	0.3529268048
355	0.3529144679
356	0.3527703091
357	0.3527279249
358	0.3525732721
359	0.3524642046
360	0.352345239
361	0.3523230229
362	0.3522359215
363	0.352140483
364	0.3520946706
365	0.3519704072
366	0.3518544938
367	0.3517193049
368	0.3515721431
369	0.3513743407
370	0.3512822374
371	0.3511814876
372	0.3510412554
373	0.3508929742
374	0.3507382279
375	0.3506880032
376	0.3505511394
377	0.3504008083
378	0.3502120863
379	0.3501217091
380	0.3499106902
381	0.3497337449
382	0.3495213119
383	0.3493630237
384	0.3492439703
385	0.3490734327
386	0.3489752182
387	0.3487858141
388	0.3486333028
389	0.3484928278
390	0.3482746847
391	0.3480664652
392	0.3479343902
393	0.3477491536
394	0.3476203617
395	0.3475163759
396	0.3473094832
397	0.3472140821
398	0.3470663324
399	0.3469988124
400	0.3468290328
401	0.3466811472
402	0.3464929004
403	0.3464121824
404	0.3462980118
405	0.3461561003
406	0.3459199028
407	0.3458081543
408	0.3456211261
409	0.345505032
410	0.3453923695
411	0.3452832719
412	0.3451642779
413	0.3450022858
414	0.344825046
415	0.3446908653
416	0.344564111
417	0.3443486099
418	0.3441573365
419	0.3440180545
420	0.3438625136
421	0.3436080979
422	0.3434212844
423	0.3432458248
424	0.343014332
425	0.3428734426
426	0.3427238593
427	0.3425692204
428	0.3424498918
429	0.3422458134
430	0.3421118919
431	0.3420604849
432	0.3417938224
433	0.3417131728
434	0.3415709701
435	0.3414894535
436	0.3413143398
437	0.3411424214
438	0.3409144509
439	0.340831585
440	0.3407332838
441	0.340559053
442	0.3403990323
443	0.3402081338
444	0.3400579471
445	0.3399544248
446	0.3398300415
447	0.3396997832
448	0.3395361363
449	0.3393415911
450	0.339275132
451	0.339052249
452	0.3389144322
453	0.3388241068
454	0.3387463732
455	0.3385977077
456	0.3385110306
457	0.3384364724
458	0.3382649459
459	0.3381636152
460	0.3380002448
461	0.3379273275
462	0.3377954965
463	0.3375962711
464	0.3375005728
465	0.3373276913
466	0.3371717527
467	0.3370674686
468	0.3369719898
469	0.336871757
470	0.3366734652
471	0.336542516
472	0.336380742
473	0.3362707517
474	0.3361157319
475	0.3359332094
476	0.3358293204
477	0.3357020805
478	0.3356145688
479	0.3355505688
480	0.3353941205
481	0.3352104354
482	0.3350778834
483	0.3348966694
484	0.3348316386
485	0.3346710906
486	0.334607182
487	0.3345168778
488	0.3343149746
489	0.3342422564
490	0.333992128
491	0.333881735
492	0.3337127252
493	0.3336031822
494	0.3334316612
495	0.3332977092
496	0.333157154
497	0.3329331566
498	0.3328361683
499	0.3326490058
500	0.3325027261
501	0.3323472234
502	0.3322362146
503	0.3321387761
504	0.3319600545
505	0.3318658598
506	0.3316732419
507	0.3315610342
508	0.3314423873
509	0.3312097636
510	0.3310929481
511	0.3308685265
512	0.330800275
513	0.3306809242
514	0.3305363105
515	0.3303403373
516	0.3302235956
517	0.3300785681
518	0.32986881
519	0.3297727456
520	0.3295894878
521	0.3294724003
522	0.32938694
523	0.329276667
524	0.3291799149
525	0.3291014856
526	0.3289896188
527	0.3287982596
528	0.3286612154
529	0.328552683
530	0.3283528397
531	0.3282721492
532	0.3281536102
533	0.3280095346
534	0.327850603
535	0.3276923082
536	0.3275728569
537	0.3274183338
538	0.3273098536
539	0.3272403252
540	0.3271649612
541	0.3270714117
542	0.326898399
543	0.3267073726
544	0.3265572723
545	0.32645324
546	0.326306908
547	0.3262200411
548	0.3261444142
549	0.3260051425
550	0.3257334477
551	0.3256235725
552	0.3255609854
553	0.3254449116
554	0.3253036882
555	0.3251946271
556	0.3250689679
557	0.3249336884
558	0.3248077358
559	0.3247423285
560	0.3245346659
561	0.3244211567
562	0.3242808708
563	0.324116794
564	0.3239802937
565	0.3237763434
566	0.3236771819
567	0.323606606
568	0.3234571523
569	0.3233347183
570	0.3231266513
571	0.3230119749
572	0.3228031018
573	0.3227349844
574	0.3225522838
575	0.3224259821
576	0.3223129297
577	0.3222445879
578	0.3220957747
579	0.3220081042
580	0.321888767
581	0.3217673041
582	0.3216127635
583	0.3214802513
584	0.3213661906
585	0.3212592151
586	0.3211265262
587	0.3210421152
588	0.3208700977
589	0.320799361
590	0.3206293653
591	0.3204983672
592	0.3203281772
593	0.3202213597
594	0.320116386
595	0.3200637741
596	0.3199052851
597	0.3198504869
598	0.3197724598
599	0.3197096806
600	0.3194857676
601	0.3194188481
602	0.3193143323
603	0.3192664773
604	0.3191372988
605	0.3189971045
606	0.318899517
607	0.318762861
608	0.3186849683
609	0.3184989552
610	0.3184064969
611	0.318291999
612	0.3181364635
613	0.3179680957
614	0.3178616586
615	0.3177264248
616	0.3176406316
617	0.3175530696
618	0.3174190741
619	0.3173623268
620	0.3172210378
621	0.3171024501
622	0.3170226829
623	0.3168426296
624	0.3167041255
625	0.3165381684
626	0.3164330784
627	0.3162906694
628	0.3161622975
629	0.3160833722
630	0.3159441075
631	0.3157829215
632	0.3156998161
633	0.3155608837
634	0.3154721564
635	0.315386185
636	0.3151946857
637	0.3150682609
638	0.3149891735
639	0.3149245843
640	0.3148480941
641	0.3148009583
642	0.3147231793
643	0.3145906838
644	0.3144964511
645	0.3143613304
646	0.3142311645
647	0.3140798807
648	0.3140060835
649	0.3139245479
650	0.3138563573
651	0.3137371547
652	0.3136824675
653	0.3135244566
654	0.3134244473
655	0.3133079415
656	0.3131644121
657	0.3130489413
658	0.3129389095
659	0.3128213595
660	0.3126947279
661	0.3126414466
662	0.3125208828
663	0.3124540046
664	0.312338811
665	0.31221604
666	0.3120825981
667	0.3120048778
668	0.3118913
669	0.3117614223
670	0.3116877218
671	0.3115814798
672	0.3114738012
673	0.3113573219
674	0.3113097098
675	0.3111502451
676	0.3110380486
677	0.3109242022
678	0.3108315606
679	0.3107637155
680	0.3106976987
681	0.3105331397
682	0.3104614665
683	0.310265372
684	0.3101061576
685	0.3100272382
686	0.3099130841
687	0.3098291914
688	0.3097294932
689	0.3096054651
690	0.3095425902
691	0.3094567404
692	0.3093596099
693	0.3092365596
694	0.3091306233
695	0.3090305204
696	0.3089082611
697	0.3088367637
698	0.3087168674
699	0.3085208335
700	0.3084359267
701	0.3083573469
702	0.3082856388
703	0.3082000863
704	0.3080602782
705	0.3079555372
706	0.3078657547
707	0.3076874555
708	0.3075987074
709	0.3075712005
710	0.3073959237
711	0.3073235163
712	0.3072319177
713	0.3071041394
714	0.3070408271
715	0.3068683287
716	0.306761962
717	0.3066102452
718	0.3064414482
719	0.3062699707
720	0.3061695656
721	0.3060292797
722	0.3059264488
723	0.3057775093
724	0.3057106991
725	0.3056181514
726	0.3055164078
727	0.3054501606
728	0.3053721689
729	0.3052422509
730	0.3051841502
731	0.3051058791
732	0.3049899784
733	0.3048729204
734	0.3048014305
735	0.3047279352
736	0.3046249956
737	0.304503717
738	0.30444156
739	0.3042493181
740	0.3041227435
741	0.303988767
742	0.3038567295
743	0.303746027
744	0.3036151542
745	0.3034954885
746	0.3034071816
747	0.3032918927
748	0.3031791744
749	0.303069691
750	0.3029525433
751	0.3028661384
752	0.3027494584
753	0.3026266968
754	0.3025254097
755	0.3023680006
756	0.3021933594
757	0.3020461563
758	0.3019402829
759	0.3018049463
760	0.3016777714
761	0.3016378889
762	0.3014922839
763	0.3014211902
764	0.3014065217
765	0.3013323859
766	0.3012306689
767	0.3010748358
768	0.3009772436
769	0.30087012
770	0.3007667621
771	0.3006058674
772	0.3004655774
773	0.3003336922
774	0.3002697732
775	0.3001770457
776	0.3000482557
777	0.2999521644
778	0.2998688426
779	0.2998068519
780	0.2997508997
781	0.299637481
782	0.2995925885
783	0.2994701803
784	0.2993172352
785	0.2992190636
786	0.2991087909
787	0.2989822228
788	0.2989116825
789	0.2988298089
790	0.2987156221
791	0.298646824
792	0.2985890761
793	0.2985431928
794	0.2984825233
795	0.2983866804
796	0.2982711415
797	0.2981923004
798	0.29816045
799	0.2980489211
800	0.2979566197
801	0.297859304
802	0.2977891092
803	0.2977446014
804	0.2976250012
805	0.2975067491
806	0.2974276169
807	0.2973184871
808	0.29719073
809	0.2971085976
810	0.2969858532
811	0.2969217524
812	0.2968265187
813	0.2966761409
814	0.2965807525
815	0.296487962
816	0.2963927514
817	0.296301532
818	0.2962038361
819	0.2960911412
820	0.2960241334
821	0.2959806954
822	0.2958589627
823	0.2957551676
824	0.295666381
825	0.2955848986
826	0.295472999
827	0.2953498356
828	0.2952575074
829	0.2951786939
830	0.2951028646
831	0.2949830847
832	0.2949247372
833	0.2948042237
834	0.2946837389
835	0.2945561098
836	0.2945120491
837	0.2943267181
838	0.2942240251
839	0.2941824626
840	0.2940584345
841	0.2939099935
842	0.2938076976
843	0.2937320307
844	0.2935472818
845	0.2934405794
846	0.2932777982
847	0.2931773595
848	0.2930767446
849	0.2930212381
850	0.2929713335
851	0.2928874083
852	0.2928456513
853	0.2926660907
854	0.2925530351
855	0.2925048745
856	0.2924556657
857	0.2924091575
858	0.292368562
859	0.2923292195
860	0.2922150327
861	0.2921310458
862	0.2919737443
863	0.2918363313
864	0.2917487084
865	0.2916476654
866	0.2915385218
867	0.2914493525
868	0.291341595
869	0.2912606019
870	0.2911624059
871	0.2910296362
872	0.2909636517
873	0.29084323
874	0.290707972
875	0.2905888149
876	0.2905368117
877	0.2904929379
878	0.2903616701
879	0.2903210383
880	0.2902190273
881	0.2900883613
882	0.2899969938
883	0.2899623691
884	0.2898443587
885	0.2898019873
886	0.2897370064
887	0.2896074153
888	0.2895019122
889	0.2893947533
890	0.2893570321
891	0.2892753093
892	0.2891217716
893	0.2890036635
894	0.2888760896
895	0.2887715
896	0.2887401747
897	0.28870095
898	0.2886077301
899	0.288511701
900	0.2884126688
901	0.2883761396
902	0.2882917523
903	0.2882036375
904	0.288147554
905	0.2880881939
906	0.2879953403
907	0.2879598198
908	0.2878294331
909	0.2877444786
910	0.2876803068
911	0.2876033188
912	0.2874920036
913	0.2873794691
914	0.2872770793
915	0.2871344092
916	0.2869644245
917	0.2868778877
918	0.2868519574
919	0.2867913764
920	0.2867512711
921	0.2866633738
922	0.2865035923
923	0.2864577998
924	0.2863081916
925	0.2861810231
926	0.2861193447
927	0.2860167719
928	0.2859187301
929	0.2857929065
930	0.2857326964
931	0.285648462
932	0.2854960422
933	0.2853399604
934	0.2852526693
935	0.2851054686
936	0.2850100191
937	0.2849148753
938	0.2847927737
939	0.2846433164
940	0.2845292827
941	0.2844275925
942	0.28426038
943	0.2841312782
944	0.2840604766
945	0.2839372124
946	0.2838531004
947	0.2837903439
948	0.2837233029
949	0.2836608024
950	0.2836011732
