iter	Passed	Remaining
0	6	6460
1	12	6228
2	19	6441
3	25	6349
4	31	6212
5	35	5938
6	40	5771
7	45	5635
8	50	5530
9	54	5420
10	60	5402
11	65	5369
12	70	5314
13	74	5246
14	79	5216
15	84	5177
16	88	5133
17	93	5116
18	98	5082
19	103	5092
20	109	5114
21	114	5084
22	119	5093
23	124	5080
24	130	5089
25	136	5097
26	141	5089
27	146	5082
28	151	5063
29	156	5062
30	161	5046
31	166	5033
32	172	5048
33	177	5046
34	183	5057
35	188	5039
36	192	5019
37	199	5038
38	204	5040
39	210	5041
40	216	5056
41	222	5069
42	228	5086
43	234	5099
44	240	5100
45	245	5096
46	250	5084
47	255	5075
48	261	5068
49	265	5050
50	270	5035
51	275	5018
52	279	4999
53	283	4966
54	288	4958
55	293	4945
56	298	4933
57	303	4933
58	308	4927
59	313	4913
60	318	4898
61	323	4887
62	328	4879
63	332	4866
64	337	4855
65	342	4849
66	347	4834
67	351	4822
68	356	4804
69	360	4794
70	365	4784
71	370	4773
72	374	4760
73	379	4748
74	384	4737
75	388	4724
76	393	4713
77	398	4707
78	402	4694
79	407	4683
80	412	4680
81	417	4672
82	422	4664
83	427	4659
84	432	4658
85	437	4651
86	442	4644
87	447	4636
88	452	4626
89	457	4621
90	461	4612
91	466	4603
92	470	4590
93	475	4578
94	479	4568
95	484	4557
96	489	4553
97	493	4543
98	498	4535
99	503	4530
100	508	4522
101	512	4513
102	517	4507
103	522	4498
104	526	4491
105	531	4485
106	536	4478
107	541	4469
108	544	4449
109	549	4442
110	553	4433
111	558	4426
112	560	4403
113	566	4403
114	571	4401
115	577	4400
116	582	4399
117	587	4393
118	592	4387
119	597	4382
120	602	4379
121	607	4373
122	612	4367
123	617	4360
124	622	4354
125	626	4347
126	631	4341
127	636	4334
128	640	4327
129	645	4320
130	650	4313
131	655	4311
132	660	4306
133	665	4299
134	670	4298
135	675	4289
136	680	4288
137	685	4284
138	690	4276
139	694	4268
140	699	4259
141	703	4251
142	708	4245
143	712	4236
144	717	4231
145	722	4225
146	727	4218
147	732	4213
148	736	4208
149	741	4200
150	746	4194
151	750	4188
152	755	4183
153	760	4177
154	765	4172
155	769	4165
156	774	4159
157	779	4154
158	784	4148
159	789	4142
160	793	4136
161	798	4130
162	803	4123
163	807	4118
164	812	4111
165	817	4109
166	823	4107
167	827	4099
168	832	4092
169	837	4090
170	842	4084
171	847	4079
172	852	4076
173	857	4070
174	862	4063
175	866	4057
176	872	4054
177	877	4050
178	881	4044
179	887	4041
180	891	4035
181	896	4029
182	901	4025
183	906	4022
184	912	4019
185	916	4012
186	921	4007
187	926	4001
188	931	3996
189	935	3990
190	940	3983
191	945	3980
192	950	3974
193	955	3967
194	959	3960
195	963	3954
196	968	3948
197	973	3942
198	978	3939
199	984	3936
200	989	3933
201	994	3929
202	999	3925
